Timestamp,Arbitration_ID,DLC,Data,Class
6896.222017000001,2b0,6,76 ff 00 07 24 6d,Normal
6896.2229879999995,130,8,00 80 70 7e 00 00 08 fc,Normal
6896.2232300000005,140,8,e0 80 00 78 20 00 08 05,Normal
6896.223469,153,8,20 80 10 ff 00 ff 10 be,Normal
6896.223709,220,8,ce 83 83 00 00 f7 0f d3,Normal
6896.223951,47f,8,00 44 ff fa 00 78 00 b4,Normal
6896.227111,38d,8,00 00 49 00 b8 7f fe 3d,Normal
6896.227347,420,8,30 1e 80 c8 fc 4f 6a 00,Normal
6896.227585,340,8,00 00 00 24 46 01 6d 30,Normal
6896.227823,421,8,fe 07 00 ff e3 7f 00 07,Normal
6896.227989,164,4,00 08 12 5c,Normal
6896.228234,389,8,00 00 00 30 00 00 67 00,Normal
6896.228476,394,8,00 00 08 00 ff 9b 15 f8,Normal
6896.228717999999,42d,8,00 00 00 00 00 d0 07 fa,Normal
6896.228956,260,8,05 17 00 30 00 be 5f 21,Normal
6896.229202,356,8,00 00 00 80 0b 00 00 00,Normal
6896.229418,366,7,17 4c 0a 17 16 00 01,Normal
6896.229661,367,8,00 00 00 00 00 00 15 0a,Normal
6896.229907000001,368,8,00 00 00 00 00 4c 0a 40,Normal
6896.230142999999,387,8,bd 4f 97 63 00 07 01 00,Normal
6896.230371000001,329,8,84 b7 81 8c 31 28 00 10,Normal
6896.23062,4c9,8,00 00 00 00 00 00 00 00,Normal
6896.230868,53e,8,00 00 00 00 08 85 00 00,Normal
6896.23176,381,8,80 10 40 00 00 eb 91 05,Normal
6896.231999,251,8,03 04 d5 1a 00 02 08 80,Normal
6896.232197,2b0,6,76 ff 00 07 35 bd,Normal
6896.232989,130,8,f0 7f 80 7e 00 00 09 d2,Normal
6896.233227999999,140,8,f0 80 00 78 20 00 09 a1,Normal
6896.233467999999,153,8,20 80 10 ff 00 ff 20 ce,Normal
6896.233702,220,8,cd 43 83 00 00 05 10 e1,Normal
6896.235382,48a,8,00 00 01 41 02 03 20 39,Normal
6896.2361789999995,58b,8,11 00 00 00 00 00 00 00,Normal
6896.237092,391,8,00 00 00 00 00 00 0c 9f,Normal
6896.237262000001,4f1,4,00 00 60 01,Normal
6896.237505,340,8,00 00 00 24 56 01 75 30,Normal
6896.237745,361,8,03 00 00 00 02 0d ef 02,Normal
6896.237985000001,484,8,14 13 fc 3e 00 13 fc 3e,Normal
6896.238153,164,4,00 08 14 12,Normal
6896.238405,4f4,8,00 00 00 00 00 00 00 00,Normal
6896.238642999999,50c,8,00 11 00 9c 05 10 82 62,Normal
6896.239075,260,8,05 17 00 30 00 be 5f 30,Normal
6896.239322,356,8,00 00 00 80 0b 00 00 00,Normal
6896.239538,366,7,17 4a 0a 17 16 00 01,Normal
6896.239784,367,8,00 00 00 00 00 00 14 0a,Normal
6896.240028,368,8,00 00 00 00 00 4a 0a 40,Normal
6896.240275,386,8,00 00 00 00 00 40 00 80,Normal
6896.240503,329,8,84 b7 81 8c 31 28 00 10,Normal
6896.2407410000005,470,8,15 41 01 04 50 50 54 b5,Normal
6896.2409210000005,453,5,00 4d 52 00 44,Normal
6896.241165,544,8,ff 77 ff ff 00 00 00 00,Normal
6896.2414100000005,553,8,00 00 19 02 01 00 80 00,Normal
6896.241811000001,251,8,03 04 d6 10 00 02 18 80,Normal
6896.242011,2b0,6,76 ff 00 07 06 d0,Normal
6896.242998,130,8,e4 7f 7c 7e 00 00 0a 74,Normal
6896.243238,140,8,d8 80 00 78 20 00 0a 3b,Normal
6896.243474999999,153,8,20 80 10 ff 00 ff 30 de,Normal
6896.243713,220,8,cc 43 83 00 00 ff 0f f9,Normal
6896.243957000001,47f,8,00 45 ff fa 00 78 00 f2,Normal
6896.247105,38d,8,00 00 49 00 c0 7f fe 79,Normal
6896.247337000001,420,8,40 1e 80 c8 fc 4f 6a 00,Normal
6896.247573,340,8,00 00 00 24 66 01 5d 30,Normal
6896.247812999999,421,8,fe 07 00 ff e3 7f 00 f8,Normal
6896.24798,164,4,00 08 16 28,Normal
6896.248223999999,389,8,00 00 00 30 00 00 58 00,Normal
6896.2484620000005,394,8,00 20 08 00 ff 9b 13 f8,Normal
6896.248902,260,8,05 17 00 30 00 be 5f 03,Normal
6896.24923,356,8,00 00 00 80 0b 00 00 00,Normal
6896.249446000001,366,7,17 4a 0a 17 16 00 01,Normal
6896.249688999999,367,8,00 00 00 00 00 00 15 0a,Normal
6896.249932999999,368,8,00 00 00 00 00 4a 0a 40,Normal
6896.250165,387,8,bd 4f 97 63 00 08 02 00,Normal
6896.250392999999,329,8,84 b7 81 8c 31 28 00 10,Normal
6896.250642000001,44e,8,00 00 00 00 00 00 00 00,Normal
6896.250894,520,8,00 00 00 00 00 00 00 00,Normal
6896.251142000001,49f,8,7f ff 00 00 00 03 00 00,Normal
