Timestamp,Arbitration_ID,DLC,Data,Class
0.16455799999999998,220,8,DE 83 7F 00 00 F3 0F 4B,Normal
0.1647963,153,8,20 80 10 FF 00 FF 70 1E,Normal
0.166116375,356,8,00 00 00 80 11 00 00 00,Normal
0.166332725,366,7,17 4A 0A 17 16 00 01,Normal
0.166571025,340,8,04 00 00 24 F6 01 76 11,Normal
0.166819075,367,8,00 00 00 00 00 00 08 0A,Normal
0.167063225,368,8,00 00 00 00 00 48 0A 40,Normal
0.167297625,470,8,15 41 05 04 54 50 54 61,Normal
0.167477925,453,5,00 5E 6B 00 7E,Normal
0.167725975,4A9,8,00 00 00 00 00 00 00 00,Normal
0.1679745,391,8,00 00 00 00 00 00 09 F6,Normal
0.168140175,4F1,4,00 00 60 61,Normal
0.168374575,50C,8,80 07 00 75 05 10 04 B2,Normal
0.168618225,52A,8,00 00 00 00 02 00 00 74,Normal
0.168860425,53F,8,30 32 41 37 30 00 00 00,Normal
0.169108975,5CD,8,00 00 00 00 00 00 00 00,Normal
0.169344825,260,8,05 17 0B 30 03 BE 5F 14,Normal
0.169511475,164,4,00 08 06 E5,Normal
0.169755625,130,8,F8 7F 10 7F 00 00 03 82,Normal
0.169991975,140,8,D8 7F 00 76 20 00 03 32,Normal
0.170225875,329,8,0F BC 80 8C 31 29 00 10,Normal
0.170460775,495,8,00 00 6E 3A 5D 02 7D 4C,Normal
0.170704925,386,8,00 80 00 00 00 40 00 80,Normal
0.17095735,500,8,01 06 00 00 08 00 00 8F,Normal
0.1715213,381,8,80 18 40 00 00 F3 75 05,Normal
0.1717596,251,8,04 04 E4 78 00 03 F8 7F,Normal
0.171959875,2B0,6,F9 FF 00 07 54 6B,Normal
0.174567925,47F,8,00 EF FF FA 00 78 00 FC,Normal
0.174806225,153,8,20 80 10 FF 00 FF 80 2E,Normal
0.175038675,220,8,E1 A3 7F 00 00 ED 0F 56,Normal
0.17640065,356,8,00 00 00 80 11 00 00 00,Normal
0.17664285,340,8,04 00 00 24 06 01 FE 11,Normal
0.176859225,366,7,17 4A 0A 17 16 00 01,Normal
0.177103375,367,8,00 00 00 00 00 00 0B 0A,Normal
0.177347525,368,8,00 00 00 00 00 4A 0A 40,Normal
0.177598,479,8,38 00 00 00 00 00 00 00,Normal
0.1777705,485,4,02 00 00 00,Normal
